student_id,department,course,semester,enrollment_status,gender,year,age,gpa,credits,tuition_fee,scholarship_amount,enrollment_date
STU00001,Mathematics,Calculus I,Fall 2024,Enrolled,Male,Freshman,24,2.82,1,20593.82,7374.85,2024-08-30
STU00002,Business Administration,Management,Spring 2023,Enrolled,Male,Graduate,28,3.36,1,6161.67,3202.25,2023-01-13
STU00003,Psychology,Cognitive Psychology,Fall 2024,Completed,Male,Senior,25,2.81,3,8668.09,1582.32,2024-09-02
STU00004,Computer Science,Algorithms,Fall 2024,Enrolled,Male,Junior,29,2.84,1,5461.25,1719.56,2024-08-21
STU00005,Mathematics,Statistics,Spring 2023,Dropped,Female,Freshman,29,3.21,4,12649.24,7462.27,2023-01-12
STU00006,Psychology,Intro to Psychology,Spring 2025,Enrolled,Female,Graduate,26,2.72,3,17150.9,1754.79,2025-01-12
STU00007,Business Administration,Finance,Fall 2024,Enrolled,Male,Junior,19,2.8,1,6953.44,2854.66,2024-08-26
STU00008,Biology,Cell Biology,Spring 2024,Completed,Female,Sophomore,29,3.57,3,7440.76,2210.7,2024-01-22
STU00009,English,American Literature,Fall 2024,Completed,Female,Freshman,20,2.99,2,18250.45,3413.32,2024-08-17
STU00010,Psychology,Cognitive Psychology,Fall 2023,Enrolled,Non-binary,Graduate,27,3.29,2,15934.21,1767.31,2023-09-01
STU00011,English,Creative Writing,Fall 2023,Enrolled,Male,Junior,27,2.01,1,23533.18,10269.01,2023-08-29
STU00012,Biology,Anatomy,Spring 2025,Enrolled,Female,Senior,25,2.58,4,16408.88,5127.78,2025-01-13
STU00013,Physics,Thermodynamics,Spring 2023,Completed,Female,Graduate,26,2.36,4,21574.75,4618.12,2023-01-22
STU00014,Business Administration,Management,Spring 2024,Waitlisted,Male,Senior,26,2.74,1,10925.47,1083.37,2024-01-14
STU00015,Computer Science,Data Structures,Fall 2023,Enrolled,Female,Graduate,30,2.76,1,5110.44,2500.42,2023-08-31
STU00016,History,Ancient Civilizations,Fall 2024,Completed,Male,Graduate,29,3.41,1,19580.14,9060.95,2024-08-16
STU00017,Mathematics,Probability,Spring 2025,Dropped,Female,Junior,27,2.68,1,22262.07,8325.54,2025-01-07
